?character	?state	?description 
<http://purl.org/phenoscape/uuid/0ac3f7ed-84b7-4c7a-9f75-5e2662794091>	<http://purl.org/phenoscape/uuid/c624b475-5263-4fd7-a5b1-120979540bde>	Interradialis between “principal ray” and “procurrent ray”: absent
<http://purl.org/phenoscape/uuid/b3afea75-6c5c-4f4c-b395-10eedc3285d7>	<http://purl.org/phenoscape/uuid/c66a06f5-c131-45e2-9ed9-257758840428>	Anal fin spines with robust anterior pterygiophore: absent
<http://purl.org/phenoscape/uuid/45404367-3cd1-4182-898d-17728fc14e35>	<http://purl.org/phenoscape/uuid/c6df72fd-10e3-4418-a0f6-2ec9de6ec8b5>	Presence or absence of basal spurs on middle caudal-fin rays in males: absent
<http://purl.org/phenoscape/uuid/fad5d74d-8138-447a-872d-6f35462ca3aa>	<http://purl.org/phenoscape/uuid/c8ffb434-b97c-4da6-9662-7a8fc3d302c1>	Fin spine reinforcement: only with ribs
<http://purl.org/phenoscape/uuid/54fac5bb-e55b-4dcc-a7a6-a51b4069b7d0>	<http://purl.org/phenoscape/uuid/c92ce2f1-e8bd-44eb-a5ed-8066507d6b1f>	Soft dorsal- and anal-fin pterygiophores: asymmetrical
<http://purl.org/phenoscape/uuid/a50e9257-6a21-4e4f-acb5-00f5d0d12698>	<http://purl.org/phenoscape/uuid/cb2f1f69-f35d-40b9-9c46-65123df293f9>	Presence of basal spurs on the middle caudal-fin rays in the males: Absent
<http://purl.org/phenoscape/uuid/64231137-773c-4893-b68d-f3c046447292>	<http://purl.org/phenoscape/uuid/ce29ce35-d341-4447-ab82-f484185536c2>	Anterolateral processes of the medial (lower) surfaces of the pelvic-fin rays: absent
<http://purl.org/phenoscape/uuid/a17e5efb-37ca-4424-b8dd-7484771b3c4e>	<http://purl.org/phenoscape/uuid/d157d7c6-0156-41e8-b704-b0b3df519208>	Anal fin in adult males: not developing modified spines on lepidotrichia segments
<http://purl.org/phenoscape/uuid/e50d3e95-a6b0-467a-a523-455a6929d3c0>	<http://purl.org/phenoscape/uuid/d3c0c507-ad75-4ef1-91a1-f1c7ba6227eb>	Pelvic-fin-ray serrations: present on broad flanges from medial (lower) surface of several rays
<http://purl.org/phenoscape/uuid/d9de80da-8c64-4103-9a9d-c87c43cc35d0>	<http://purl.org/phenoscape/uuid/d6916c63-6d06-486d-855f-929bb8b0856e>	Radials: unjointed
<http://purl.org/phenoscape/uuid/cdf6ba20-fb23-438c-a143-1adee25805ae>	<http://purl.org/phenoscape/uuid/d949ba2c-c815-4431-9f5f-4da2da2be7bf>	Stegural (sensu Rosen, 1984): absent
<http://purl.org/phenoscape/uuid/b27f48f0-7a5f-42ea-b20b-e7ab56a86623>	<http://purl.org/phenoscape/uuid/daf4ea76-29bb-4999-b088-21154cf2ad60>	Neural spine of preural centrum 1: long, close to, or reaching the dorsal margin of the body
<http://purl.org/phenoscape/uuid/4cdb6da3-5329-40a1-959a-c07a35f9da4d>	<http://purl.org/phenoscape/uuid/dbfa40f3-1ed0-4da4-a17a-ca4628439e87>	Caudal median cartilages absent (homoplastic loss also found in three genera of Ipnopidae and all Acanthomorphata): Caudal median cartilages absent
<http://purl.org/phenoscape/uuid/d0b05d2c-f680-417c-a04f-12f352e71473>	<http://purl.org/phenoscape/uuid/e6da764c-e3cd-4dc7-9b7b-0e9c97706e88>	Median Caudal Cartilages: Two CMCs, the dorsal one minute
<http://purl.org/phenoscape/uuid/30c497d3-b5c3-4755-a7b3-a213bbb60236>	<http://purl.org/phenoscape/uuid/eb70ff71-bb93-4150-950c-96bd384a298a>	Nearly dorsally directed, distally bifurcated digitiform process on anterior region of basal portion of anterior and middle branched anal-fin rays: present
<http://purl.org/phenoscape/uuid/8b579331-4092-4748-8f40-6d636bf18eb9>	<http://purl.org/phenoscape/uuid/f401e6fc-e983-4074-a593-1333cc0045d8>	Pelvic radial 3 (also cartilage absent) absent: absent (also cartilage absent)
<http://purl.org/phenoscape/uuid/55910ac3-34fd-4d19-bdce-6dfc4f7dce8f>	<http://purl.org/phenoscape/uuid/f594ae0d-b62b-4ccf-9a00-1a443f50ab9b>	(S6.) Anterior dorsal fin-rays articulate directly with basal plate: present
<http://purl.org/phenoscape/uuid/e503dcda-d18b-494f-a623-73d056339f3f>	<http://purl.org/phenoscape/uuid/00382c96-0c45-4a56-afc9-6db00ad132bd>	hemal arch PU3: present
<http://purl.org/phenoscape/uuid/715516ca-50fb-430d-8bb8-b55e50bd3b80>	<http://purl.org/phenoscape/uuid/051c70f1-c1c8-441d-b02f-722f828d852b>	Radials: absent
<http://purl.org/phenoscape/uuid/dddea8e3-71c9-4c1a-b8c0-7e353dd4e020>	<http://purl.org/phenoscape/uuid/07a24f61-2a31-447a-b542-0288534b4b8d>	Basal plates in dorsal fin supports: absent
<http://purl.org/phenoscape/uuid/09713171-f8b4-4a84-9f7c-1f298980478c>	<http://purl.org/phenoscape/uuid/08075e61-7c74-43ad-b521-3250029b90fa>	Full neural spine on first centrum: Full neural spine on first centrum
<http://purl.org/phenoscape/uuid/81dca7ba-ed0b-46df-9d57-3175be2c4079>	<http://purl.org/phenoscape/uuid/0878e339-346f-4e82-ac72-a08827350509>	Neural spine of the first preural centrum: lanceolate
<http://purl.org/phenoscape/uuid/715516ca-50fb-430d-8bb8-b55e50bd3b80>	<http://purl.org/phenoscape/uuid/0aba3d62-420f-4995-b10e-4644f0970d75>	Radials: present jointed
<http://purl.org/phenoscape/uuid/023c5011-f4c6-4fdb-b30f-34f615463e41>	<http://purl.org/phenoscape/uuid/0b3cbd96-6c9b-44d7-994a-c7823ee25274>	Stegural: absent
<http://purl.org/phenoscape/uuid/34abac56-e977-4e2d-9532-da41ecc1aa16>	<http://purl.org/phenoscape/uuid/0c10bb9f-672f-4e2b-83ae-76104d1797e0>	Adult males without spines: presence of spines or hooks on the posterior margin of lepidotrichia segments of unbranched anal fin rays
<http://purl.org/phenoscape/uuid/31e6d29d-1f0b-4a79-8728-43ee9263c0d7>	<http://purl.org/phenoscape/uuid/0d23a60a-d90a-4512-8db2-798e0e0206bd>	Ana fin middle radials: greatly elongated middle radials in the anal fin, which may reach half the length of proximal radials
<http://purl.org/phenoscape/uuid/68b0f424-f8f9-4c34-82fa-ec99c2b22d28>	<http://purl.org/phenoscape/uuid/0e3a4101-849c-44c9-aa79-bcc6c281c7d5>	Neural spine of preural centrum 1 short or rudimentary (Arratia 1999; also present in Dapedium and Prohalecites, variable in teleocephalans): decreased height
<http://purl.org/phenoscape/uuid/e170e1ba-75d7-4d80-9ed7-a6235a12be07>	<http://purl.org/phenoscape/uuid/0ea0c811-2f6f-42c2-8bbe-9e0e251d91ee>	Radials: jointed
<http://purl.org/phenoscape/uuid/7a551ea7-6dae-4fb6-9efe-16ebfd100c4a>	<http://purl.org/phenoscape/uuid/1485f72f-89dd-4357-93bb-73aaa71f9160>	Fifth hypural: separated
<http://purl.org/phenoscape/uuid/26373f7e-e223-4cf1-8dd5-12206c77a9f4>	<http://purl.org/phenoscape/uuid/17ff58a6-8561-4f6c-93ba-29e9aa3ac2e5>	First uroneural bearing a dorsal expansion of laminar bone: absent
<http://purl.org/phenoscape/uuid/e17bd129-fe7b-46e4-944a-d39942516272>	<http://purl.org/phenoscape/uuid/1950b513-0453-4a20-90bc-a896a07f371b>	Median caudal cartilages: absent
<http://purl.org/phenoscape/uuid/7a551ea7-6dae-4fb6-9efe-16ebfd100c4a>	<http://purl.org/phenoscape/uuid/1a4155e6-fda9-4372-8522-ec8ff463551b>	Fifth hypural: fused
<http://purl.org/phenoscape/uuid/0c8274e4-2ff2-4965-adcb-b7d946737927>	<http://purl.org/phenoscape/uuid/229a1fa3-6a3d-4cc3-9bfe-55bdadbc49e3>	Dorsal radials: independent in part from the basal
<http://purl.org/phenoscape/uuid/b366de0a-8a26-4276-aa8d-f5491bb32e1c>	<http://purl.org/phenoscape/uuid/22d8f424-48e9-46de-ba36-fb9e24fbea53>	Medial caudal cartilages: absent
<http://purl.org/phenoscape/uuid/bf82130e-762a-490b-8598-6040a4be7333>	<http://purl.org/phenoscape/uuid/25cdf334-9f87-4319-9d27-3d3ed8254a3c>	Third preural centrum and hemal spine: fused
<http://purl.org/phenoscape/uuid/3d796edc-1ba7-401e-882e-8d87106ee6e7>	<http://purl.org/phenoscape/uuid/2d926dfd-dc49-4f42-9f46-bb1d307400fe>	Stegural (sensu Rosen 1984): absent
<http://purl.org/phenoscape/uuid/26373f7e-e223-4cf1-8dd5-12206c77a9f4>	<http://purl.org/phenoscape/uuid/2e02c22b-5f21-4642-9e72-03dac623eb26>	First uroneural bearing a dorsal expansion of laminar bone: present
<http://purl.org/phenoscape/uuid/30ca2d76-5354-4f04-b146-917c9c20119d>	<http://purl.org/phenoscape/uuid/30eafe76-a0f7-4fed-80ed-c8ec3c9845fe>	Length of the neural spine on preural centrum 3: short, extending only to the anterior edge of the ural centrum
<http://purl.org/phenoscape/uuid/8884ecec-277f-40b2-819b-7126976decfc>	<http://purl.org/phenoscape/uuid/374cf695-d8ab-4137-b261-810a14239188>	Median caudal cartilages absent (Fujita 1990, Johnson & Patterson 1993); (Synapomorphy for Euacanthomorpha + Lampridiformes, Wiley & Johnson, 2010): Median caudal cartilages absent
<http://purl.org/phenoscape/uuid/df1eb69f-b39c-4212-aef9-e862168b9257>	<http://purl.org/phenoscape/uuid/44be4b5e-1f4b-4319-8d66-6676b1583267>	Neural spine of first preural centrum: long
<http://purl.org/phenoscape/uuid/0c8274e4-2ff2-4965-adcb-b7d946737927>	<http://purl.org/phenoscape/uuid/473d7e3b-773d-4906-bb41-ff9d7280da3e>	Dorsal radials: on the basal cartilage
<http://purl.org/phenoscape/uuid/39c4195f-1558-408f-a98e-ed567d644dc2>	<http://purl.org/phenoscape/uuid/47f36827-0cf8-4ca2-b8b1-0e98fadd0971>	Anterior margin of the unbranched anal fin rays: presence of spines on the anterior margin of the lepidotrichia segments of the umbranched anal fin rays
<http://purl.org/phenoscape/uuid/7d94c7c5-5136-46b1-a2a0-0a5ea0ed7015>	<http://purl.org/phenoscape/uuid/4ba0798a-089a-46c6-b370-87439162df24>	Middle radials of dorsal and anal fins: absent
<http://purl.org/phenoscape/uuid/952f42aa-9ef3-4f15-9694-0f7c3e1a0fde>	<http://purl.org/phenoscape/uuid/50f49681-0baa-4e23-aa61-0d89d5426771>	Median caudal cartilages: absent
<http://purl.org/phenoscape/uuid/6770673c-d130-4daf-b550-88df55382232>	<http://purl.org/phenoscape/uuid/5b3ef4b9-73a4-4583-b70e-97e60b63ae97>	Pelvic radial-2 and -3 cartilage: absent
<http://purl.org/phenoscape/uuid/d9de80da-8c64-4103-9a9d-c87c43cc35d0>	<http://purl.org/phenoscape/uuid/5e0ec068-7a67-489f-aa92-bfb9417055bf>	Radials: jointed
<http://purl.org/phenoscape/uuid/238157bd-6224-4e7b-8a3a-42e3a5a0bc70>	<http://purl.org/phenoscape/uuid/5f630b69-a909-40dd-bbf1-971e79d3fdfe>	(G5.) Dorsal fin(s) with basal cartilage: absent
<http://purl.org/phenoscape/uuid/c412adba-3aef-42ce-942a-57c89d4ea9e9>	<http://purl.org/phenoscape/uuid/fe0cd39a-8aff-4648-8267-5f0b9a7f1a14>	Neural arch of pre ural centrum 2 with posterior process: absent
<http://purl.org/phenoscape/uuid/301db3cf-5e8f-416a-82ed-ef977cc6f58b>	<http://purl.org/phenoscape/uuid/5489926b-fbbe-4ffe-93b8-844a5bf3e7f6>	Neural spine PU3: present
<http://purl.org/phenoscape/uuid/e170e1ba-75d7-4d80-9ed7-a6235a12be07>	<http://purl.org/phenoscape/uuid/63c28d6d-22c5-4a33-9fe6-fc02f2b00f81>	Radials: unjointed
<http://purl.org/phenoscape/uuid/b27f48f0-7a5f-42ea-b20b-e7ab56a86623>	<http://purl.org/phenoscape/uuid/6c26e42f-589f-4548-9728-74f7f3e853e6>	Neural spine of preural centrum 1: absent
<http://purl.org/phenoscape/uuid/30ca2d76-5354-4f04-b146-917c9c20119d>	<http://purl.org/phenoscape/uuid/6cf25a32-4eea-4682-91c0-2cb1fa6c34bf>	Length of the neural spine on preural centrum 3: long, extends posteriorly past the hypurapophysis
<http://purl.org/phenoscape/uuid/5d978692-4086-4e24-8f1f-ec71988b1c58>	<http://purl.org/phenoscape/uuid/6f7c3a21-731f-4001-a194-78c3677b39aa>	Anal-fin ray bony processes: absent
<http://purl.org/phenoscape/uuid/715516ca-50fb-430d-8bb8-b55e50bd3b80>	<http://purl.org/phenoscape/uuid/7b1dc85e-dbc1-4ded-bb13-3f83146a2e5f>	Radials: present unjointed
<http://purl.org/phenoscape/uuid/01e1d01d-1763-4a60-a02e-c38c6dc185c0>	<http://purl.org/phenoscape/uuid/84df28b6-15e8-45c8-8d7c-7181f3d6c7fa>	Dorsal spines: serrated
<http://purl.org/phenoscape/uuid/ce1cb5e8-5c58-4228-a49a-3ebd22ace4ff>	<http://purl.org/phenoscape/uuid/86b79543-9b71-4e82-be1b-44a3064ff638>	Anteriormost distal pectoral radial largest of series: present
<http://purl.org/phenoscape/uuid/b6b35500-1167-44d9-b1bf-ec9ab44a3142>	<http://purl.org/phenoscape/uuid/8976d3f6-f4e8-45cb-9e2f-13c5d9ae9fd0>	The elongate dorsal and ventral rays of the caudal fin: The anterior rays of the dorsal fin, and the dorsal and ventral rays of the caudal fin are either approximately the same length as the neighboring rays or only slightly longer than those elements in most members of the Curimatidae
<http://purl.org/phenoscape/uuid/30c497d3-b5c3-4755-a7b3-a213bbb60236>	<http://purl.org/phenoscape/uuid/8ae1d950-8822-405c-9047-2818750ed9e9>	Nearly dorsally directed, distally bifurcated digitiform process on anterior region of basal portion of anterior and middle branched anal-fin rays: absent
<http://purl.org/phenoscape/uuid/fc75de12-e392-4464-95ca-99b9641d27ab>	<http://purl.org/phenoscape/uuid/8cd3873c-7f4b-40bf-895d-f29a88aac880>	Principal caudal-fin rays: 10/9; highly modified, and with bony hooks
<http://purl.org/phenoscape/uuid/0f5b8679-a65e-4969-a7a9-0c9a118b0320>	<http://purl.org/phenoscape/uuid/8e0d2e41-5137-485f-8775-5724814e74b2>	Lateropterygium of pelvic girdle: disk-shaped
<http://purl.org/phenoscape/uuid/a8e1428b-72ee-46b2-b1a1-a04459bcd4d6>	<http://purl.org/phenoscape/uuid/8f04fafe-3ef6-487d-a5ac-5af4ba8f0df7>	Pelvic-fin spines: absent
<http://purl.org/phenoscape/uuid/f2938fbd-5949-4ed1-8205-7d8bd389ab1a>	<http://purl.org/phenoscape/uuid/8f25c1b3-025b-47c8-96f6-22e48f7320f7>	Caudal-fin hooks: dorsally situated, retrorse, laterally and ventrally curved, oriented toward the caudal-fin base and ventral margin of caudal fin
<http://purl.org/phenoscape/uuid/a766a509-8699-4015-9575-bdd8772c8150>	<http://purl.org/phenoscape/uuid/90d975ff-162e-4825-955c-a782ecf6cc39>	Dorsal-, anal-, and pectoral-fin rays: branched
<http://purl.org/phenoscape/uuid/1571ee05-7e26-4e3a-8863-da964e2480e1>	<http://purl.org/phenoscape/uuid/92eb55b6-3da8-452a-b446-797f0ff29a94>	Uroneural: present
<http://purl.org/phenoscape/uuid/8e01bcdb-a1ed-433d-bf46-9e0e9a8ffc01>	<http://purl.org/phenoscape/uuid/959f2bbf-fd25-4db9-a758-0109fe860907>	Pelvic fin spine: spines from both sides fused into a single element, not encased in modified scales
<http://purl.org/phenoscape/uuid/06b722e5-b8cb-422d-8370-d91a3f2cfcb1>	<http://purl.org/phenoscape/uuid/95c1458b-8845-4134-8206-4910d5689517>	Hypurals, degree of fusion (+ indicates fused together): 4−6 separate hypural elements
<http://purl.org/phenoscape/uuid/6770673c-d130-4daf-b550-88df55382232>	<http://purl.org/phenoscape/uuid/9c58b63c-750a-4030-aa9b-dd0f2ad87035>	Pelvic radial-2 and -3 cartilage: present
<http://purl.org/phenoscape/uuid/131fc72d-2244-4eb3-bd4f-0a8ba5eb3b09>	<http://purl.org/phenoscape/uuid/9c8e5659-5e40-463c-bd81-eecf1e5ab360>	Dorsal-fin rays: present
<http://purl.org/phenoscape/uuid/26a90d8d-3acf-4f91-b6de-400f9a3e7b8f>	<http://purl.org/phenoscape/uuid/9cccebed-d9e7-4bfa-b40c-cd3da7d08c1f>	Pelvic-fin rays, serrations: present on broad flanges from the medial (lower) surface of several rays
<http://purl.org/phenoscape/uuid/6c0982e5-f05a-46e7-ba8b-95dd73c97a4b>	<http://purl.org/phenoscape/uuid/9e1c4c4e-6dba-4726-97a6-1ec9ef2a2cc7>	Hypural 5: present
<http://purl.org/phenoscape/uuid/f51e1733-24fc-4063-8e0f-5c4f61a9c8a4>	<http://purl.org/phenoscape/uuid/9ee273a4-fb01-4a72-8b8b-0254e1e0adc1>	Pigmentation pattern of caudal fin: lower lobe of caudal fin uniformly black
<http://purl.org/phenoscape/uuid/b6b35500-1167-44d9-b1bf-ec9ab44a3142>	<http://purl.org/phenoscape/uuid/9f458178-1eec-4965-93c1-8c59509ec626>	The elongate dorsal and ventral rays of the caudal fin: The elongate dorsal and ventral rays of the caudal fin
<http://purl.org/phenoscape/uuid/65787bbf-28bd-4645-b995-01ab1f0a35c0>	<http://purl.org/phenoscape/uuid/9f5a02bd-54b1-4d4f-ac59-1ca83f34346e>	Dorsal spine: pentagonal in cross-section with longitudinal groove along each lateral side, serrate along basal portion of anterior margin, posterior margin smooth
<http://purl.org/phenoscape/uuid/0a1adcfd-9eeb-4ef6-bd8f-4570c8a303ab>	<http://purl.org/phenoscape/uuid/a141ce93-2d80-4b98-862f-bbed57523396>	Dorsal-fin: adnate posteriorly; dorsal spinelet absent, dorsal spine flexible without serrations
<http://purl.org/phenoscape/uuid/caa8a928-3904-4644-8b31-5390c15344dd>	<http://purl.org/phenoscape/uuid/a21d9048-4d25-48c7-b734-fce92e742291>	Location of interdigitation of first proximal pterygiophore of dorsal fin relative to neural spines of anterior vertebrae: between fifth and sixth neural spines
<http://purl.org/phenoscape/uuid/5cd990dd-14bc-40e7-9398-95b7b883f0da>	<http://purl.org/phenoscape/uuid/a30d616e-28d9-443a-b3b3-cc930cd8d072>	Procurrent caudal-fin rays: absent
<http://purl.org/phenoscape/uuid/7788df6a-f695-4e28-8352-043cb28506ae>	<http://purl.org/phenoscape/uuid/a351f73d-52e9-4763-8790-7ae76ff2d15d>	First dorsal pterygiophore interdigitating anterior to second interneural space: First dorsal pterygiophore interdigitating anterior to second interneural space.
<http://purl.org/phenoscape/uuid/1560e6cb-0aa5-4ea9-9da5-9ce17a4cf850>	<http://purl.org/phenoscape/uuid/a5597661-5afd-4d98-9856-a960fd70aab6>	Procurrent caudal-fin rays: procurrent caudal rays absent
<http://purl.org/phenoscape/uuid/2b87c779-bda4-4eca-af65-7b4a76cec40e>	<http://purl.org/phenoscape/uuid/a945ba99-ddb7-43f4-8d31-d57aef18c372>	Lateral flange on lowermost pectoral-fin radial: present
<http://purl.org/phenoscape/uuid/18e0f306-e4e7-4bc9-8e87-32ae85b74760>	<http://purl.org/phenoscape/uuid/aab034d8-8511-42b6-83f0-d9c8d6a0147e>	Parahypural: truncated proximally
<http://purl.org/phenoscape/uuid/29b84d76-326c-44d7-95b7-c315bb07df75>	<http://purl.org/phenoscape/uuid/ac04afaa-01f1-4539-a598-ef318467c7c4>	Bony hooks on first pelvic-fin ray of adult males: (0) absent
<http://purl.org/phenoscape/uuid/6e12ab38-b144-4227-af2c-8a8bf3c94b03>	<http://purl.org/phenoscape/uuid/af485756-2a33-447c-804f-bb958fa35e0f>	Bony hooks on anal-fin rays of adult males: absent
<http://purl.org/phenoscape/uuid/881f1a89-ec9e-4d4f-a5dc-39191540545d>	<http://purl.org/phenoscape/uuid/b0930eea-0e7b-4446-9cb3-0a79a756bc9c>	Distal lateral edge of the pelvic spine: deep notch
<http://purl.org/phenoscape/uuid/6e12ab38-b144-4227-af2c-8a8bf3c94b03>	<http://purl.org/phenoscape/uuid/b1e6959d-d5f2-41b0-84f0-c40e867e26f1>	Bony hooks on anal-fin rays of adult males: present
<http://purl.org/phenoscape/uuid/744a8343-2871-4c78-b440-fbfb80ea2603>	<http://purl.org/phenoscape/uuid/b4d3563b-dc9d-4e30-b4b2-6059955f49b8>	Shape of the first dorsal-fin spine: the first dorsal fin has no spines
<http://purl.org/phenoscape/uuid/1c189242-4000-4edc-b7fc-798b50dc4556>	<http://purl.org/phenoscape/uuid/b5f7cbf2-195c-4eb0-82fa-bedd5c5a62b1>	Neural arch of preural centrum 1: poorly developed without spine
<http://purl.org/phenoscape/uuid/0dd3cf7f-d638-4ed5-a435-bf87f49d605f>	<http://purl.org/phenoscape/uuid/b8158dcc-9c5c-4d29-a489-ee629daacdb5>	Paired fin spines: Absent
<http://purl.org/phenoscape/uuid/549d35e0-1cad-4af9-ba17-4b95b74fc8ea>	<http://purl.org/phenoscape/uuid/bbe5c6a3-47fb-4f6b-a5e2-6f93691108eb>	Anal-fin rays: bearing hypertrophied bony hooks, sometimes with fused lepidotrichia, slightly expanded in sagittal plane
<http://purl.org/phenoscape/uuid/f2938fbd-5949-4ed1-8205-7d8bd389ab1a>	<http://purl.org/phenoscape/uuid/bf3de534-6979-49d3-ab49-97601315a2a2>	Caudal-fin hooks: absent
<http://purl.org/phenoscape/uuid/5c4590f3-fce8-42d9-977a-d585b4f354d3>	<http://purl.org/phenoscape/uuid/c06a47db-0ddf-4ef2-a591-ee90e1115aeb>	Pelvic fin spine: absent
<http://purl.org/phenoscape/uuid/7a3c02fc-7a7e-4923-9f34-e8c7e8f37c60>	<http://purl.org/phenoscape/uuid/c0a9f3bd-d888-4c75-8788-d31d9ca83bfa>	Mature males with anal-fin lobe longer than that of females and bilateral hooks on branched and unbranched rays: 
<http://purl.org/phenoscape/uuid/23f3c9b1-fef1-4631-bf91-2972c20ebc6f>	<http://purl.org/phenoscape/uuid/c129b760-8fed-4d09-9da9-93028e4687d1>	Pectoral fin radials: aplesodic
<http://purl.org/phenoscape/uuid/86299f97-4aa6-47ba-a0f8-47be34c82d62>	<http://purl.org/phenoscape/uuid/c36a1d87-4adf-406d-ad33-df7a1a4b7007>	Dorsal-fin spines: (correlated with absence of pterygiophores) absent
<http://purl.org/phenoscape/uuid/56b11d46-b98e-4d55-8f61-dd25c73005ef>	<http://purl.org/phenoscape/uuid/c78a0181-0652-46d6-be98-0cffe5e07cab>	Anal-fin hooks: absent in females and juveniles
